phrase;rel_page;2019-01-01;2019-01-02;2019-01-03;2019-01-04;2019-01-05;2019-01-06;2019-01-07;2019-01-08;2019-01-09;2019-01-10;2019-01-11;2019-01-12;2019-01-13;2019-01-14;2019-01-15;2019-01-16;2019-01-17;2019-01-18;2019-01-19;2019-01-20;2019-01-21;2019-01-22;2019-01-23;2019-01-24;2019-01-25;2019-01-26;2019-01-27;2019-01-28;2019-01-29;2019-01-30;2019-01-31;2019-02-01;2019-02-02;2019-02-03;2019-02-04;2019-02-05;2019-02-06;2019-02-07;2019-02-08;2019-02-09;2019-02-10;2019-02-11;2019-02-12;2019-02-13;2019-02-14;2019-02-15;2019-02-16;2019-02-17;2019-02-18;2019-02-19;2019-02-20;2019-02-21;2019-02-22;2019-02-23;2019-02-24;2019-02-25;2019-02-26;2019-02-27;2019-02-28;2019-03-01;2019-03-02;2019-03-03;2019-03-04;2019-03-05;2019-03-06;2019-03-07;2019-03-08;2019-03-09;2019-03-10;2019-03-11;2019-03-12;2019-03-13;2019-03-14;2019-03-15;2019-03-16;2019-03-17;2019-03-18;2019-03-19;2019-03-20;2019-03-21;2019-03-22;2019-03-23;2019-03-24;2019-03-26;2019-03-27;2019-03-28;2019-03-29;2019-03-30;2019-03-31;2019-04-01;2019-04-02;2019-04-03;2019-04-04;2019-04-05;2019-04-06;2019-04-07;2019-04-08;2019-04-09;2019-04-10;2019-04-11;2019-04-12;2019-04-13;2019-04-14;2019-04-15
крем на лето для комбинированной кожи;-;27;29;32;34;30;40;33;35;33;30;39;36;29;38;30;31;31;32;31;30;100;35;33;33;42;38;39;36;38;36;38;33;35;101;31;30;101;29;28;30;26;26;38;28;27;29;29;27;26;25;23;32;22;23;22;22;17;21;20;21;101;101;101;22;97;97;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;92;96;94;99;101;101;101;101;101;27;101;101;26;101;101;101
крем на лето после 40 лет;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем на лето с spf;https://da-vita.ru/beauty-blog/kak-vibrat-krem-na-leto-i-vesnu.html;26;21;20;23;19;22;23;20;21;24;22;24;24;24;20;27;23;27;36;32;28;24;26;26;23;28;27;25;26;21;42;20;22;19;22;22;33;19;24;21;16;18;31;18;18;20;19;18;18;18;14;18;14;15;14;13;12;12;13;13;12;13;11;11;10;11;18;16;14;19;19;16;21;15;13;15;15;17;16;15;15;24;26;25;33;14;37;30;36;39;37;41;37;40;35;33;38;37;31;31;28;30;36;36
крем на лето с спф;https://da-vita.ru/beauty-blog/kak-vibrat-krem-na-leto-i-vesnu.html;17;18;17;17;16;20;18;17;18;18;19;19;21;21;21;22;23;18;18;35;20;20;22;22;20;25;22;23;24;20;20;17;17;19;21;21;19;17;17;18;19;15;23;14;16;15;19;19;16;18;15;26;14;13;12;11;8;9;12;9;11;9;13;7;6;6;13;17;12;13;12;15;16;10;9;10;11;11;12;10;11;17;18;18;18;21;17;99;8;21;22;21;23;28;22;21;24;18;21;14;17;21;20;19
крем на основе гиалуроновой кислоты купить;https://da-vita.ru/catalog/kremi-s-gialuronovoi-kislotoi.html;27;26;28;27;23;32;28;26;20;24;20;27;23;27;24;25;26;22;25;33;22;25;25;29;24;21;22;27;22;19;38;31;35;28;28;25;26;30;26;33;27;30;47;31;21;36;27;21;25;25;24;42;28;37;26;34;35;30;40;35;31;28;32;34;33;41;27;32;27;29;21;30;30;37;38;38;38;37;32;31;35;27;30;30;52;44;52;49;53;50;61;52;55;45;60;85;59;60;63;52;63;62;53;63
крем на основе черной икры;https://da-vita.ru/catalog/chernaya-ikra.html;84;61;61;60;60;62;61;63;61;61;62;61;58;63;56;63;61;59;101;45;44;69;62;59;60;55;41;40;44;59;46;38;51;48;50;101;48;43;47;53;48;60;65;61;60;58;59;59;53;57;56;67;35;42;51;42;42;45;46;42;93;95;35;40;47;49;61;52;44;54;61;60;61;67;59;54;57;68;67;65;67;57;61;62;99;101;96;97;97;93;97;99;84;46;47;82;43;46;46;47;49;89;91;66
крем ног антибактериальным эффектом;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем ночной 35 лет купить;https://da-vita.ru/catalog/nochnie-kremi-35-let.html;1;1;1;1;1;3;1;1;1;1;1;1;1;2;2;2;3;2;2;3;2;2;2;2;2;3;3;3;3;2;2;3;3;7;3;3;3;1;4;4;3;3;3;4;3;2;1;3;2;1;3;5;3;4;3;4;3;3;3;3;2;2;2;1;3;2;3;3;1;3;3;3;3;3;3;3;3;3;4;3;3;4;4;5;4;6;5;4;5;6;6;6;6;7;6;7;5;6;6;6;6;7;6;8
крем ночной лифтинг купить;https://da-vita.ru/catalog/lifting-kremi.html;5;5;5;5;5;6;8;8;7;6;6;7;5;6;49;5;10;6;6;12;7;8;7;7;10;11;11;7;9;7;8;8;5;9;6;8;7;9;11;17;14;12;24;23;11;9;8;7;6;6;16;30;23;28;7;15;21;21;28;18;12;16;12;12;16;19;10;14;11;13;11;12;11;14;12;16;15;19;13;12;12;9;10;8;7;13;12;13;8;13;14;12;7;8;9;11;11;13;21;9;14;13;15;10
крем обогащенный черной икрой;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем от аллергии на руках купить;https://da-vita.ru/catalog/kremi-ot-allergii-na-rukah.html;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;7;11;8;8;9;9;10;10;9;8;7;8;6;7;8;8;8;9;5;7;7;6;5;6;7;6;9;8;10;7;8;9;8;15;9;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;2;2;2;2;3;3;101;3;101;2;2;2;2;2;2;2;2;4;4;5
крем от грибка на ногах между пальцами купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем от грибка ногтей на ногах;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем от грибка ногтей на ногах цена;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем от грибка ногтей на руках купить;-;45;44;46;46;45;47;46;47;46;46;43;42;41;42;37;44;45;45;101;46;42;34;46;46;42;41;55;55;55;54;39;45;50;48;48;47;52;47;50;40;49;47;54;44;45;57;46;42;43;41;51;65;68;72;72;75;78;74;76;74;54;63;66;58;63;62;65;62;63;66;63;69;62;59;65;67;68;63;70;68;67;71;74;72;64;64;63;62;67;64;101;66;98;101;101;70;101;67;101;101;63;101;68;101
крем от запаха ног цена;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем от зуда кожи на ногах купить;https://da-vita.ru/catalog/kremi-ot-zuda-kozhi-nog.html;10;9;11;9;8;12;11;11;11;9;10;11;10;9;10;5;10;5;10;11;11;5;11;12;10;8;10;10;8;9;8;8;9;8;12;7;7;7;10;16;9;9;12;10;8;7;8;8;11;8;9;18;10;12;8;11;13;11;15;10;9;9;8;8;9;9;10;10;8;9;9;10;7;4;6;7;7;8;6;6;8;3;5;6;2;7;3;4;6;4;4;4;4;4;4;4;3;6;6;4;2;4;4;5
крем от зуда кожи на руках купить;https://da-vita.ru/catalog/kremi-ot-zuda-kozhi-nog.html;5;4;5;5;4;7;5;5;5;5;5;5;4;6;3;3;3;3;4;3;6;6;4;7;6;6;6;6;6;5;6;5;6;4;4;3;3;4;4;6;6;7;7;3;3;6;7;3;3;5;3;10;5;7;6;6;6;6;9;6;12;11;13;11;16;15;14;15;10;11;12;16;12;11;11;12;16;12;12;12;10;9;11;10;9;3;3;3;3;3;13;10;15;14;6;4;5;11;13;16;7;4;10;14
крем от морщин вокруг глаз купить;https://da-vita.ru/catalog/kremi-ot-morshchin-vokrug-glaz.html;21;30;34;35;27;26;23;24;23;11;12;10;8;13;6;12;12;5;9;6;10;12;16;17;19;19;18;27;25;24;25;25;26;23;20;16;17;13;28;29;25;28;34;32;18;18;13;18;16;11;8;45;40;48;34;37;33;15;38;31;16;26;29;25;23;31;20;26;17;18;16;19;22;19;18;24;23;22;21;21;17;10;15;11;9;23;13;24;13;22;23;13;14;27;28;23;20;20;25;12;21;12;12;13
крем от морщин для мужчин купить;https://da-vita.ru/catalog/krem-ot-morshchin-dlya-mujchin.html;47;44;48;49;41;50;47;46;47;47;48;46;47;50;35;34;42;44;53;44;50;47;48;50;44;44;46;47;52;45;44;45;54;45;43;44;46;37;48;49;48;50;52;48;50;47;55;37;41;46;49;65;56;58;48;53;46;43;51;51;41;35;36;37;37;41;37;36;31;35;30;34;32;29;32;33;33;32;32;32;31;25;36;39;34;42;26;33;42;36;40;43;36;33;32;37;34;36;30;35;38;27;32;37
крем от морщин израильская косметика;https://da-vita.ru/catalog/antivozrastnie-kremi/krem-mineralnii-ot-morshchin.html;7;9;9;9;9;12;10;9;11;10;9;5;10;13;11;9;11;13;11;10;13;11;13;14;13;13;11;9;9;8;8;8;7;9;8;8;8;7;9;10;10;10;11;11;6;7;6;7;10;7;7;17;11;11;9;9;10;8;8;9;9;5;11;10;13;12;11;10;10;10;10;9;10;10;11;11;11;11;11;11;10;8;11;9;9;7;8;9;6;9;12;7;10;9;9;6;8;9;10;10;10;10;9;10
крем от морщин от 60 лет;https://da-vita.ru/catalog/krem-ot-morshchin-60-let.html;22;22;23;89;89;90;88;86;88;85;89;89;93;91;25;99;26;24;21;26;25;25;27;28;27;88;92;92;94;91;26;87;89;23;20;19;19;17;19;22;19;23;30;20;33;85;88;88;23;85;87;87;87;87;91;87;91;91;91;96;27;23;26;22;19;23;21;22;12;14;16;14;15;18;19;23;25;26;26;25;33;33;34;36;27;38;35;35;34;36;33;38;35;35;34;33;33;34;31;16;28;31;32;36
крем от морщин после 40 купить;https://da-vita.ru/catalog/kremi-dlya-lica-40-let.html;5;6;6;6;6;8;6;6;6;6;7;6;6;6;6;6;7;6;4;7;6;7;7;7;7;5;6;7;6;5;5;5;7;6;4;4;4;5;9;7;6;6;10;12;6;5;4;5;4;5;4;9;7;9;7;8;6;6;7;5;10;12;6;11;9;9;11;7;6;10;12;9;8;11;12;14;13;9;9;9;9;9;10;9;8;13;18;18;8;10;19;15;10;13;18;11;11;13;16;11;17;11;11;16
крем от морщин после 45 купить;https://da-vita.ru/catalog/kremi-ot-morshchin.html;4;6;8;8;7;9;7;7;8;7;7;7;6;6;12;6;6;6;6;6;7;6;7;7;8;9;8;6;8;5;6;7;7;8;7;7;17;7;7;9;6;9;9;9;7;7;4;4;6;6;6;12;9;11;3;7;7;7;8;6;10;7;7;8;6;7;5;4;4;5;6;7;8;8;9;9;9;10;9;9;8;9;10;9;10;10;11;11;9;11;9;10;8;9;10;8;9;7;9;6;8;5;7;7
крем от морщин после 55 лет купить;https://da-vita.ru/catalog/antivozrastnie-kremi-55-let.html;2;2;2;2;2;4;3;4;4;4;5;5;5;5;4;5;5;3;3;3;4;2;5;5;2;2;2;3;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;3;2;2;2;5;4;5;2;3;5;4;3;2;5;4;3;2;3;5;3;3;5;4;5;2;3;2;2;4;2;4;4;4;4;2;2;4;3;3;2;5;5;4;4;4;4;3;2;2;3;2;3;3;3;4;3;4
крем от отеков и тяжести в ногах;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем от постакне купить;https://da-vita.ru/catalog/kosmetika-ot-postakne.html;5;6;6;6;6;6;6;6;5;5;4;4;4;3;4;6;4;6;6;6;4;7;7;7;4;9;7;4;8;4;5;4;5;12;4;6;4;5;4;5;4;4;7;9;7;6;3;3;5;4;6;16;6;9;5;8;6;6;10;10;7;7;7;7;6;7;8;5;5;7;7;8;7;8;8;8;8;8;8;8;6;9;15;10;12;11;11;12;13;13;14;13;12;12;13;12;11;12;12;12;9;9;8;11
крем от прыщей летом;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем от псориаза купить;https://da-vita.ru/catalog/ot-psoriaza.html;84;81;81;84;83;83;83;82;82;65;81;81;81;69;73;83;84;81;81;71;49;48;68;76;73;66;71;64;85;71;70;70;69;69;67;63;68;61;101;66;66;64;75;63;63;64;62;55;62;52;65;77;71;75;79;56;74;67;70;72;88;92;95;96;95;99;91;87;87;87;61;70;74;75;87;87;87;90;73;72;92;93;93;92;101;69;68;101;101;70;71;101;96;69;70;98;98;101;101;86;91;91;90;100
крем от раздражения кожи купить;https://da-vita.ru/catalog/kremi-dlya-razdrajennoi-i-shelushashcheisya-koji.html;20;18;21;23;21;17;21;22;20;21;20;19;25;28;25;15;26;24;23;27;21;22;21;23;18;25;19;27;21;22;20;26;21;15;16;19;20;13;11;20;19;19;22;20;16;16;13;9;8;9;14;25;25;25;23;25;21;24;26;23;25;17;27;22;29;27;26;17;13;18;19;23;20;30;28;30;28;34;36;36;34;30;29;27;25;41;39;40;30;28;31;30;34;40;35;33;38;18;39;41;40;37;36;40
крем от раздражения на руках купить;https://da-vita.ru/catalog/kremi-ot-zuda-na-rukah.html;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;27;101;29;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;86;11;84;86;101;101;101;84;84;101;101;101;101;101;28;101;30;28
крем от трещин между пальцами ног;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем от тяжести и усталости в ногах купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем от угрей купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;99;96;101;101;85;101;101;101;101;73;101;101;101;101;101;101;101;101;101;97;97;98;97;70;75;64;69;76;74;77;74;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем от усталости ног купить;https://da-vita.ru/catalog/krem-ot-ustalosti-i-otechnosti-nog.html;43;47;48;56;45;60;50;58;54;47;51;52;45;55;50;31;32;51;48;51;52;55;54;59;50;47;47;66;50;49;41;76;58;55;49;43;51;35;59;58;54;50;63;39;40;40;41;44;39;45;52;76;48;56;36;43;50;43;50;48;41;40;35;37;45;37;36;37;30;36;37;56;21;26;26;29;27;30;32;29;32;31;40;31;24;31;28;28;29;26;29;33;30;36;37;34;28;36;35;34;35;33;33;42
крем от усталости ног с охлаждающим эффектом купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем от шелушения кожи на руках купить;https://da-vita.ru/catalog/kremi-ot-shelusheniya-kozhi-na-rukah.html;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;4;4;4;6;3;4;3;3;4;3;3;2;7;2;4;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
крем от экземы купить;https://da-vita.ru/catalog/kremi-ot-ekzemi-na-rukah.html;40;43;44;47;39;48;43;43;42;44;43;41;37;41;51;43;44;42;42;41;45;41;44;47;32;44;38;35;47;31;36;34;35;36;32;31;41;25;32;37;36;50;41;27;31;50;33;31;29;30;33;60;44;48;41;48;39;40;52;51;45;42;41;42;39;44;47;29;27;33;27;31;36;29;34;36;34;37;32;31;33;29;29;38;29;36;31;29;29;44;37;35;44;47;42;43;41;40;39;38;51;44;43;46
крем при куперозе на лице;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем против грибка ногтей на ногах;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем против пота ног купить;-;44;57;64;52;58;69;91;91;92;66;68;62;63;89;90;101;101;62;62;65;62;66;64;66;54;47;54;54;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;33;36;90;44;90;45;45;42;48;31;32;30;33;101;34;37;101;101;41;101;41;40;101;40;101;45;45;41;101;101;101;101
крем с витамином c купить;https://da-vita.ru/catalog/kremi-s-vitaminom-c.html;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4;5;5;4;4;5;5;13;5;9;6;4;4;4;4;4;6;11;7;10;7;5;9;9;11;9;5;9;8;9;6;6;7;7;6;8;9;8;8;11;10;11;14;12;12;12;9;7;8;14;9;9;12;9;9;12;13;9;10;12;12;10;11;15;21;10;10;13;12;16
крем с витамином в купить;https://da-vita.ru/catalog/kremi-s-vitaminom-a.html;12;11;12;13;10;14;12;14;14;15;14;13;12;14;8;8;11;11;10;14;11;12;17;19;23;23;25;24;23;21;23;25;25;21;20;19;22;19;24;24;23;23;25;25;18;15;18;28;17;16;25;38;32;40;34;34;36;27;41;33;31;32;19;27;24;31;23;30;21;30;23;29;27;23;22;26;26;28;30;29;29;29;33;39;26;30;39;38;38;41;32;24;44;22;43;31;28;28;28;32;38;33;35;36
крем с витамином с летом можно;https://da-vita.ru/beauty-blog/kak-vibrat-krem-na-leto-i-vesnu.html;49;38;53;51;46;46;50;42;44;40;41;43;40;53;78;77;75;43;44;46;44;52;51;53;41;38;47;76;76;34;34;89;76;33;35;35;36;78;78;76;34;39;50;34;36;34;34;33;33;44;38;36;31;30;19;18;17;23;20;21;32;76;32;26;29;29;101;101;34;82;81;86;101;101;101;101;101;78;78;77;77;36;41;84;40;39;45;46;39;42;43;101;101;101;101;101;101;101;101;101;101;101;49;56
крем с гиалуроновой кислотой с какого возраста;https://da-vita.ru/faq/krem-s-gialuronovoi-kislotoi-s-kakogo-vozrasta.html;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;73;101;101;101;101;22;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;79;78;76;77;79;17;70;68;67;93;92;92;91;92;92;89;87;87;89;89;89;85;85;83;84;85;101;101;101;101;101;101;97;65;15;12;12;14;11;14;15;13;14;12;11;11;13;81;12;80;80;13;12
крем с гиалуроновой кислотой цена;-;98;93;93;93;90;92;88;88;84;83;85;85;68;79;101;80;80;68;67;68;80;67;69;68;64;64;62;63;66;70;70;69;68;67;65;67;63;62;61;67;66;67;69;68;63;66;57;57;56;62;62;68;65;67;66;67;65;63;67;71;83;83;83;53;89;91;101;89;89;88;86;83;82;85;83;82;83;93;88;88;88;53;57;62;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем с жемчужной пудрой;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем с золотом;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;83;101;97;99;98;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;96;101;101;101;101;101;101;101;89;93;92;89;95;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем с золотом купить;https://da-vita.ru/catalog/geli-i-kremi-dlya-glaz-s-zolotom.html;20;19;23;21;19;24;19;22;23;21;22;21;19;23;11;11;19;18;18;11;18;19;22;22;18;14;19;18;18;19;15;19;26;15;16;14;14;18;23;18;25;18;22;20;16;16;13;20;15;15;18;48;20;33;21;24;26;22;18;19;20;13;12;13;13;15;13;18;13;14;13;13;13;14;14;14;28;16;20;14;13;13;13;13;11;12;31;31;38;39;40;13;43;14;44;13;12;48;11;49;101;15;15;50
крем с низкомолекулярной гиалуроновой кислотой купить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем с протеинами черной икры;https://da-vita.ru/catalog/chernaya-ikra-dlya-volos.html;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;87;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;22;31;21;24;35;35;41;42;36;44;46;50;48;51;42;52;53;56;50;47;47;37;39;37;61;48;41;32;32;51;43;34;55;40;56;51;53;46;74;77;63;46;70;63
крем с ретинолом весной;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем с ретинолом летом;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем с ретинолом летом можно или нет;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крем с ретинолом можно использовать весной летом;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
